SKU,Producto,Nombre_Botanico,Formatos_Disponibles,Linea_Comercial,Precio_PV,Disponibilidad
357508,Aceite Esencial Lavanda (Lavender),Lavandula angustifolia,"15ml, Roll-On 10ml",Singles,24.50,En Stock
357808,Aceite Esencial Limón (Lemon),Citrus limon,"15ml, 5ml",Singles,11.75,En Stock
353408,Aceite Esencial Menta (Peppermint),Mentha piperita,"15ml, 5ml, Roll-On 10ml",Singles,22.00,En Stock
354808,Aceite Esencial Incienso (Frankincense),Boswellia carterii,"15ml, 5ml",Singles,75.50,En Stock
342308,Mezcla de Aceites Esenciales Thieves,Blend,"15ml, 5ml, Roll-On 10ml",Blends,34.75,En Stock
